Lattice size,Block size,Input time for GPU,total iterations (GPU),Processing time for GPU,GPU Gflops,Output time for GPU,Total time for GPU,
512,256,1.450848,1000000,64537.093750,28.211683,1.228192,64539.769531,
512,128,1.434048,1000000,64321.937500,28.306050,1.257696,64324.628906,
512,64,1.427936,1000000,64382.675781,28.279347,1.212544,64385.316406,
512,32,1.444640,1000000,64356.964844,28.290644,1.240672,64359.652344,
512,16,1.419840,1000000,63806.328125,28.534787,1.228000,63808.972656,
512,8,1.326048,1000000,60657.066406,30.016288,1.119168,60659.511719,
512,2,1.427328,1000000,64301.441406,28.315073,1.232192,64304.097656,
