Lattice size,Block size,Input time for GPU,total iterations (GPU),Processing time for GPU,GPU Gflops,Output time for GPU,Total time for GPU,
32,2,0.547936,2946,159.637985,4.484384,0.440512,160.626434,
32,4,0.542240,2946,79.356125,9.021081,0.438624,80.336983,
32,8,0.558912,2946,73.530205,9.735836,0.439936,74.529053,
64,2,1.419680,10899,3063.366699,7.631418,1.177472,3065.963867,
64,4,1.425792,10899,885.407043,26.403485,1.177344,888.010193,
64,8,1.404000,10899,757.401001,30.865858,1.161472,759.966492,
128,2,4.237248,41098,79631.039062,9.291642,5.401152,79640.671875,
128,4,4.513856,41098,20237.408203,36.561158,5.527904,20247.449219,
128,8,4.034560,41098,15026.566406,49.239664,4.982368,15035.583008,
