Lattice size,Block size,Input time for GPU,total iterations (GPU),Processing time for GPU,GPU Gflops,Output time for GPU,Total time for GPU,
512,256,1.420928,1000000,71648.546875,25.411541,1.226624,71651.195312,
512,128,1.419520,1000000,66887.390625,27.220377,1.240896,66890.054688,
512,64,1.303072,1000000,57154.343750,31.855846,1.184704,57156.832031,
512,32,1.302432,1000000,58912.546875,30.905131,1.110144,58914.957031,
512,16,1.411488,1000000,68412.476562,26.613567,1.229888,68415.117188,
512,8,1.404416,1000000,63113.714844,28.847930,1.236064,63116.355469,
512,2,1.325312,1000000,56936.132812,31.977936,1.119072,56938.574219,
